month,company,taxi_fleet
2009-08,SMRT,2584
2009-08,Individual Yellow- Top,406
2009-08,Smart,725
2009-08,TransCab,2999
2009-08,Premier,2111
2009-08,Prime,545
2009-09,Comfort,11359
2009-09,CityCab,3803
2009-09,SMRT,2579
2009-09,Individual Yellow- Top,405
2009-09,Smart,725
2009-09,TransCab,3139
2009-09,Premier,2096
2009-09,Prime,557
2009-10,Comfort,11443
2009-10,CityCab,3854
2009-10,SMRT,2585
2009-10,Individual Yellow- Top,407
2009-10,Smart,725
2009-10,TransCab,3139
2009-10,Premier,2086
2009-10,Prime,558
2009-11,Comfort,11404
2009-11,CityCab,3823
2009-11,SMRT,2579
2009-11,Individual Yellow- Top,406
2009-11,Smart,724
2009-11,TransCab,3139
2009-11,Premier,2056
2009-11,Prime,562
2009-12,Comfort,11479
2009-12,CityCab,3757
2009-12,SMRT,2582
2009-12,Individual Yellow- Top,406
2009-12,Smart,724
2009-12,TransCab,3159
2009-12,Premier,2033
2009-12,Prime,562
2010-01,Comfort,11539
2010-01,CityCab,3807
2010-01,TransCab,3190
2010-01,SMRT,2586
2010-01,Individual Yellow- Top,405
2010-01,Smart,724
2010-01,Premier,2032
2010-01,Prime,562
2010-02,Comfort,11482
2010-02,CityCab,3812
2010-02,TransCab,3241
2010-02,SMRT,2575
2010-02,Individual Yellow- Top,402
2010-02,Smart,724
2010-02,Premier,2032
2010-02,Prime,578
2010-03,Comfort,11567
2010-03,CityCab,3856
2010-03,TransCab,3296
2010-03,SMRT,2566
2010-03,Individual Yellow- Top,402
2010-03,Smart,724
2010-03,Premier,2031
2010-03,Prime,582
2010-04,Comfort,11645
2010-04,CityCab,3890
2010-04,TransCab,3361
2010-04,SMRT,2565
2010-04,Individual Yellow- Top,399
2010-04,Smart,724
2010-04,Premier,2019
2010-04,Prime,582
2010-05,Comfort,11556
2010-05,CityCab,3883
2010-05,TransCab,3416
2010-05,SMRT,2596
2010-05,Individual Yellow- Top,396
2010-05,Smart,724
2010-05,Premier,2016
2010-05,Prime,589
2010-06,Comfort,11642
2010-06,CityCab,3892
2010-06,TransCab,3481
2010-06,SMRT,2607
2010-06,Individual Yellow- Top,393
2010-06,Smart,724
2010-06,Premier,2016
2010-06,Prime,606
2010-07,Comfort,11548
2010-07,CityCab,3962
2010-07,TransCab,3546
2010-07,SMRT,2611
2010-07,Individual Yellow- Top,390
2010-07,Smart,724
2010-07,Premier,2014
2010-07,Prime,614
2010-08,Comfort,11584
2010-08,CityCab,3986
2010-08,TransCab,3618
2010-08,SMRT,2603
2010-08,Individual Yellow- Top,388
2010-08,Smart,724
2010-08,Premier,2014
2010-08,Prime,620
2010-09,Comfort,11569
2010-09,CityCab,3986
2010-09,TransCab,3720
2010-09,SMRT,2598
2010-09,Individual Yellow- Top,387
2010-09,Smart,724
2010-09,Premier,2011
2010-09,Prime,629
2010-10,Comfort,11558
2010-10,CityCab,3984
2010-10,TransCab,3788
2010-10,SMRT,2591
2010-10,Individual Yellow- Top,389
2010-10,Smart,724
2010-10,Premier,2009
2010-10,Prime,634
2010-11,Comfort,11677
2010-11,CityCab,3977
2010-11,TransCab,3867
2010-11,SMRT,2588
2010-11,Individual Yellow- Top,388
2010-11,Smart,724
2010-11,Premier,2008
2010-11,Prime,654
2010-12,Comfort,11705
2010-12,CityCab,4072
2010-12,TransCab,3896
2010-12,SMRT,2619
2010-12,Individual Yellow- Top,383
2010-12,Smart,724
2010-12,Premier,2008
2010-12,Prime,666
2011-01,Comfort,11968
2011-01,CityCab,4063
2011-01,TransCab,3956
2011-01,SMRT,2617
2011-01,Individual Yellow- Top,378
2011-01,Smart,724
2011-01,Premier,2007
2011-01,Prime,673
2011-02,Comfort,11710
2011-02,CityCab,4097
2011-02,TransCab,3986
2011-02,SMRT,2614
2011-02,Individual Yellow- Top,375
2011-02,Smart,723
2011-02,Premier,2007
2011-02,Prime,683
2011-03,Comfort,11626
2011-03,CityCab,3971
2011-03,TransCab,4043
2011-03,SMRT,2669
2011-03,Individual Yellow- Top,375
2011-03,Smart,723
2011-03,Premier,2006
2011-03,Prime,698
2011-04,Comfort,11825
2011-04,CityCab,4011
2011-04,TransCab,4099
2011-04,SMRT,2794
2011-04,Individual Yellow- Top,374
2011-04,Smart,723
2011-04,Premier,2005
2011-04,Prime,704
2011-05,Comfort,11836
2011-05,CityCab,3966
2011-05,TransCab,4219
2011-05,SMRT,2912
2011-05,Individual Yellow- Top,371
2011-05,Smart,723
2011-05,Premier,2004
2011-05,Prime,709
2011-06,Comfort,11795
2011-06,CityCab,4029
2011-06,TransCab,4129
2011-06,SMRT,2990
2011-06,Individual Yellow- Top,370
2011-06,Smart,723
2011-06,Premier,2004
2011-06,Prime,718
2011-07,Comfort,11657
2011-07,CityCab,4119
2011-07,TransCab,4129
2011-07,SMRT,3031
2011-07,Individual Yellow- Top,368
2011-07,Smart,723
2011-07,Premier,2014
2011-07,Prime,719
2011-08,Comfort,11639
2011-08,CityCab,4055
2011-08,TransCab,4130
2011-08,SMRT,3074
2011-08,Individual Yellow- Top,368
2011-08,Smart,719
2011-08,Premier,2044
2011-08,Prime,727
2011-09,Comfort,11627
2011-09,CityCab,4045
2011-09,TransCab,4130
2011-09,SMRT,3064
2011-09,Individual Yellow- Top,367
2011-09,Smart,714
2011-09,Premier,2039
2011-09,Prime,727
2011-10,Comfort,11610
2011-10,CityCab,4043
2011-10,TransCab,4230
2011-10,SMRT,3150
2011-10,Individual Yellow- Top,362
2011-10,Smart,713
2011-10,Premier,2131
2011-10,Prime,731
2011-11,Comfort,11598
2011-11,CityCab,4037
2011-11,TransCab,4271
2011-11,SMRT,3143
2011-11,Individual Yellow- Top,362
2011-11,Smart,710
2011-11,Premier,2164
2011-11,Prime,733
2011-12,Comfort,11587
2011-12,CityCab,4035
2011-12,TransCab,4311
2011-12,SMRT,3133
2011-12,Individual Yellow- Top,360
2011-12,Smart,709
2011-12,Premier,2181
2011-12,Prime,735
2012-01,Comfort,11555
2012-01,CityCab,4033
2012-01,TransCab,4338
2012-01,SMRT,3128
2012-01,Individual Yellow- Top,357
2012-01,Smart,701
2012-01,Premier,2209
2012-01,Prime,738
2012-02,Comfort,11602
2012-02,CityCab,4055
2012-02,TransCab,4370
2012-02,SMRT,3105
2012-02,Individual Yellow- Top,355
2012-02,Smart,683
2012-02,Premier,2250
2012-02,Prime,743
2012-03,Comfort,11704
2012-03,CityCab,4057
2012-03,TransCab,4458
2012-03,SMRT,3074
2012-03,Individual Yellow- Top,353
2012-03,Smart,614
2012-03,Premier,2258
2012-03,Prime,748
2012-04,Comfort,11877
2012-04,CityCab,4105
2012-04,TransCab,4498
2012-04,SMRT,3168
2012-04,Individual Yellow- Top,352
2012-04,Smart,612
2012-04,Premier,2258
2012-04,Prime,748
2012-05,Comfort,11946
2012-05,CityCab,4084
2012-05,TransCab,4523
2012-05,SMRT,3246
2012-05,Individual Yellow- Top,348
2012-05,Smart,579
2012-05,Premier,2254
2012-05,Prime,753
2012-06,Comfort,11966
2012-06,CityCab,4082
2012-06,TransCab,4564
2012-06,SMRT,3321
2012-06,Individual Yellow- Top,348
2012-06,Smart,561
2012-06,Premier,2246
2012-06,Prime,761
2012-07,Comfort,12058
2012-07,CityCab,4129
2012-07,TransCab,4621
2012-07,SMRT,3417
2012-07,Individual Yellow- Top,343
2012-07,Smart,527
2012-07,Premier,2238
2012-07,Prime,768
2012-08,Comfort,12059
2012-08,CityCab,4128
2012-08,TransCab,4646
2012-08,SMRT,3484
2012-08,Individual Yellow- Top,341
2012-08,Smart,517
2012-08,Premier,2232
2012-08,Prime,769
2012-09,Comfort,12116
2012-09,CityCab,4177
2012-09,TransCab,4660
2012-09,SMRT,3559
2012-09,Individual Yellow- Top,340
2012-09,Smart,497
2012-09,Premier,2233
2012-09,Prime,782
2012-10,Comfort,12070
2012-10,CityCab,4174
2012-10,TransCab,4660
2012-10,SMRT,3500
2012-10,Individual Yellow- Top,337
2012-10,Smart,479
2012-10,Premier,2226
2012-10,Prime,797
2012-11,Comfort,12067
2012-11,CityCab,4169
2012-11,TransCab,4660
2012-11,SMRT,3493
2012-11,Individual Yellow- Top,333
2012-11,Smart,443
2012-11,Premier,2219
2012-11,Prime,803
2012-12,Comfort,12130
2012-12,CityCab,4169
2012-12,TransCab,4638
2012-12,SMRT,3494
2012-12,Individual Yellow- Top,329
2012-12,Smart,432
2012-12,Premier,2214
2012-12,Prime,804
2013-01,Comfort,12172
2013-01,CityCab,4226
2013-01,TransCab,4642
2013-01,SMRT,3446
2013-01,Individual Yellow- Top,324
2013-01,Smart,417
2013-01,Premier,2266
2013-01,Prime,804
2013-02,Comfort,12232
2013-02,CityCab,4217
2013-02,TransCab,4610
2013-02,SMRT,3395
2013-02,Individual Yellow- Top,322
2013-02,Smart,404
2013-02,Premier,2261
2013-02,Prime,804
2013-03,Comfort,12220
2013-03,CityCab,4213
2013-03,TransCab,4552
2013-03,SMRT,3331
2013-03,Individual Yellow- Top,319
2013-03,Smart,385
2013-03,Premier,2251
2013-03,Prime,804
2013-04,Comfort,12197
